,city,latitude,longitude,onebed_rent,salary_year_avg
0,"New York, NY",40.7306,-73.93524,3188,125000
1,"San Francisco, CA",37.774,-122.4313,2913,150000
2,"Atlanta, GA",33.7488,-84.38817,1585,115000
3,"Washington, DC",38.8898,-77.00906,2281,119275
4,"Chicago, IL",41.8818,-87.62318,1845,110000
5,"Los Angeles, CA",34.0522,-118.24368,2155,133000
6,"Austin, TX",30.2667,-97.73333,1440,117208
7,"Tampa, FL",27.9692,-82.4588,1634,110090
8,"Boston, MA",42.3611,-71.05708,3417,125000
9,"Charlotte, NC",35.2271,-80.84312,1454,115000
10,"San Jose, CA",37.3355,-121.89303,2572,167500
11,"Dallas, TX",32.7792,-96.80889,1393,105000
12,"Mountain View, CA",37.3861,-122.08386,3109,196800
13,"Arlington, VA",38.881,-77.1043,2335,119000
14,"Irving, TX",32.814,-96.9489,1308,115000
15,"Miami, FL",25.7934,-80.1392,2105,90000
16,"San Diego, CA",32.7157,-117.16109,2343,137000
17,"McLean, VA",38.9383,-77.18327,2341,127500
18,"St. Louis, MO",38.627,-90.1994,1090,100694
19,"Reston, VA",38.9527,-77.3412,2246,122340
20,"Jacksonville, FL",30.3322,-81.6557,1294,110000
21,"Houston, TX",29.7601,-95.3701,1192,123117
22,"San Antonio, TX",29.4252,-98.4946,1094,90000
23,"Hartford, CT",41.7658,-72.6734,1283,139000
24,"Menlo Park, CA",37.453,-122.1817,3252,175000
25,"Philadelphia, PA",39.9526,-75.1652,1702,102000
26,"Orlando, FL",28.5384,-81.3789,1562,92500
27,"Palo Alto, CA",37.4419,-122.143,2818,153250
28,"Jersey City, NJ",40.7178,-74.0431,3092,117500
29,"Denver, CO",39.7392,-104.9903,1662,135938
30,"Sunnyvale, CA",37.3688,-122.0363,2772,168000
31,"San Mateo, CA",37.563,-122.3255,2764,162500
32,"Irvine, CA",33.6846,-117.8265,2924,111175
33,"Santa Clara, CA",37.3541,-121.9552,2965,150000
34,"Plano, TX",33.0198,-96.6989,1477,119150
35,"Seattle, WA",47.6061,-122.3328,2053,162500
36,"Indianapolis, IN",39.7691,-86.158,1093,90000
37,"Chantilly, VA",38.8943,-77.4311,2389,125000
38,"Albany, NY",42.6526,-73.7562,1466,92528
39,"Oakland, CA",37.8044,-122.2712,2048,125000
40,"Herndon, VA",38.9696,-77.3861,2039,125000
41,"Huntsville, AL",34.7304,-86.5861,1079,115000
42,"Minneapolis, MN",44.9778,-93.265,1348,117500
